                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3638,                 1.8063,                 1.5902,                 1.4346,                 1.9526,                 1.5786,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008548,               0.008548,               0.008548
                     25,                 1.3736,                 1.7733,                 1.6055,                 1.4379,                 1.9335,                 1.5884,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008482,               0.008482,               0.008482
                     26,                 1.3644,                 1.7838,                 1.5935,                 1.4108,                 1.9338,                 1.5693,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008416,               0.008416,               0.008416
                     27,                 1.3667,                 1.7603,                 1.5898,                 1.4084,                 1.9098,                 1.5658,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,                0.00835,                0.00835,                0.00835
                     28,                 1.3295,                 1.7089,                 1.5677,                 1.3836,                 1.8625,                  1.547,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008284,               0.008284,               0.008284
                     29,                 1.3565,                 1.7005,                 1.5711,                 1.3995,                 1.8688,                 1.5467,                0.41767,                0.48577,                0.44073,                0.25621,                 1.3716,                 1.7271,                 1.7817,                 1.4074,                 1.8057,                  1.799,               0.008218,               0.008218,               0.008218
                     30,                 1.3288,                 1.7172,                  1.544,                 1.3805,                 1.8908,                 1.5313,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.008152,               0.008152,               0.008152
                     31,                 1.3417,                 1.6838,                 1.5677,                 1.3947,                 1.8323,                 1.5579,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.008086,               0.008086,               0.008086
                     32,                 1.3354,                 1.6834,                 1.5625,                 1.4075,                 1.8123,                 1.5503,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,                0.00802,                0.00802,                0.00802
                     33,                  1.309,                 1.6406,                 1.5367,                 1.3704,                 1.7665,                 1.5303,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.007954,               0.007954,               0.007954
                     34,                  1.339,                 1.6628,                 1.5492,                 1.3835,                 1.8117,                 1.5462,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.007888,               0.007888,               0.007888
                     35,                 1.3215,                 1.6533,                 1.5525,                 1.3787,                 1.8065,                 1.5461,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.007822,               0.007822,               0.007822
                     36,                 1.2917,                 1.6004,                 1.5288,                  1.359,                 1.7468,                 1.5205,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.007756,               0.007756,               0.007756
                     37,                 1.2935,                 1.6077,                 1.5366,                 1.3672,                 1.7438,                 1.5313,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,                0.00769,                0.00769,                0.00769
                     38,                 1.2847,                 1.5723,                 1.5195,                 1.3435,                 1.7052,                 1.5161,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.007624,               0.007624,               0.007624
                     39,                 1.3072,                 1.6132,                 1.5428,                 1.3529,                 1.7585,                 1.5267,                0.51605,                0.50339,                0.52532,                 0.3158,                 1.3114,                 1.4763,                 1.7153,                 1.3835,                 1.5508,                 1.7435,               0.007558,               0.007558,               0.007558
                     40,                 1.2773,                 1.5683,                 1.5018,                 1.3411,                 1.7104,                 1.4942,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.007492,               0.007492,               0.007492
                     41,                  1.276,                 1.5573,                 1.5127,                 1.3444,                 1.7001,                 1.5092,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.007426,               0.007426,               0.007426
                     42,                 1.2876,                 1.6081,                 1.5261,                 1.3499,                 1.7406,                 1.5124,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,                0.00736,                0.00736,                0.00736
                     43,                 1.2747,                 1.5443,                 1.5023,                 1.3174,                 1.7063,                 1.4861,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.007294,               0.007294,               0.007294
                     44,                 1.2761,                 1.5563,                 1.5127,                 1.3284,                 1.6967,                 1.4926,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.007228,               0.007228,               0.007228
                     45,                 1.2904,                  1.559,                 1.5177,                  1.347,                 1.6931,                 1.5071,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.007162,               0.007162,               0.007162
                     46,                 1.2583,                 1.5273,                 1.5114,                 1.3242,                 1.6687,                 1.5066,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.007096,               0.007096,               0.007096
                     47,                 1.2571,                 1.5083,                 1.5037,                 1.3219,                 1.6414,                 1.4978,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,                0.00703,                0.00703,                0.00703
                     48,                 1.2786,                 1.5308,                 1.5151,                 1.3313,                 1.6522,                    1.5,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.006964,               0.006964,               0.006964
                     49,                 1.2525,                  1.495,                 1.4874,                 1.3134,                 1.6234,                 1.4832,                0.59761,                0.50548,                0.55719,                 0.3478,                 1.2787,                 1.4344,                 1.6568,                 1.3375,                 1.4651,                 1.6792,               0.006898,               0.006898,               0.006898
                     50,                 1.2672,                 1.5105,                 1.5091,                 1.3332,                  1.643,                  1.508,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006832,               0.006832,               0.006832
                     51,                 1.2347,                 1.4716,                 1.4744,                 1.2994,                 1.5863,                 1.4742,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006766,               0.006766,               0.006766
                     52,                 1.2443,                 1.4961,                 1.4895,                 1.3156,                 1.6327,                 1.4927,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.2559,                 1.4426,                 1.4873,                 1.3161,                  1.577,                 1.4862,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006634,               0.006634,               0.006634
                     54,                 1.2378,                 1.4625,                 1.4874,                 1.3012,                 1.6103,                  1.486,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006568,               0.006568,               0.006568
                     55,                 1.2331,                  1.481,                 1.4726,                 1.3026,                 1.6239,                 1.4677,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006502,               0.006502,               0.006502
                     56,                 1.2267,                 1.4229,                 1.4654,                 1.2882,                 1.5644,                 1.4652,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006436,               0.006436,               0.006436
                     57,                 1.2227,                 1.4191,                   1.47,                 1.2855,                 1.5609,                 1.4732,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,                0.00637,                0.00637,                0.00637
                     58,                 1.2354,                 1.4223,                 1.4696,                 1.2983,                 1.5536,                 1.4624,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006304,               0.006304,               0.006304
                     59,                  1.211,                   1.39,                 1.4458,                 1.2781,                 1.5073,                  1.444,                0.59933,                0.57992,                 0.6089,                0.37246,                 1.2924,                 1.3214,                  1.668,                 1.3649,                 1.3752,                 1.7146,               0.006238,               0.006238,               0.006238
                     60,                 1.2007,                 1.3923,                 1.4524,                 1.2644,                 1.5171,                 1.4533,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.006172,               0.006172,               0.006172
                     61,                 1.2099,                 1.3946,                 1.4528,                 1.2699,                 1.5419,                 1.4527,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.006106,               0.006106,               0.006106
                     62,                 1.2345,                 1.4029,                 1.4706,                 1.2972,                 1.5405,                 1.4673,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,                0.00604,                0.00604,                0.00604
                     63,                 1.1882,                 1.3523,                   1.44,                 1.2582,                 1.4607,                 1.4493,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.005974,               0.005974,               0.005974
                     64,                 1.2038,                 1.3811,                 1.4528,                 1.2715,                 1.5055,                 1.4551,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.005908,               0.005908,               0.005908
                     65,                 1.1985,                 1.3565,                 1.4379,                 1.2829,                 1.4815,                 1.4521,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.005842,               0.005842,               0.005842
                     66,                 1.1822,                 1.3315,                 1.4364,                 1.2524,                 1.4377,                  1.442,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.005776,               0.005776,               0.005776
                     67,                 1.1754,                 1.3316,                 1.4372,                  1.237,                 1.4519,                 1.4353,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,                0.00571,                0.00571,                0.00571
                     68,                 1.1862,                 1.3378,                 1.4388,                 1.2644,                 1.4434,                 1.4414,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.005644,               0.005644,               0.005644
                     69,                 1.2151,                 1.3472,                 1.4466,                 1.2782,                 1.4752,                 1.4396,                0.66992,                0.54663,                0.63097,                0.40045,                  1.246,                 1.2326,                  1.629,                 1.3214,                 1.2689,                 1.6628,               0.005578,               0.005578,               0.005578
                     70,                 1.1794,                  1.326,                 1.4334,                 1.2525,                 1.4379,                 1.4372,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.005512,               0.005512,               0.005512
                     71,                 1.1666,                 1.3187,                 1.4271,                 1.2402,                 1.4326,                 1.4257,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.005446,               0.005446,               0.005446
                     72,                  1.177,                 1.2844,                 1.4334,                 1.2334,                 1.4237,                 1.4357,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,                0.00538,                0.00538,                0.00538
                     73,                 1.1805,                 1.3218,                 1.4346,                 1.2578,                 1.4403,                  1.449,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.005314,               0.005314,               0.005314
                     74,                 1.1771,                 1.3023,                 1.4252,                 1.2428,                  1.426,                 1.4316,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.005248,               0.005248,               0.005248
                     75,                 1.1697,                 1.3264,                 1.4383,                 1.2232,                 1.4758,                 1.4341,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.005182,               0.005182,               0.005182
                     76,                 1.1592,                 1.2773,                 1.4223,                 1.2222,                 1.4114,                 1.4244,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.005116,               0.005116,               0.005116
                     77,                 1.1642,                 1.2944,                 1.4143,                 1.2169,                 1.4156,                 1.4202,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,                0.00505,                0.00505,                0.00505
                     78,                  1.167,                 1.2806,                 1.4258,                 1.2281,                 1.4149,                 1.4282,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.004984,               0.004984,               0.004984
                     79,                 1.1703,                 1.2773,                 1.4212,                 1.2303,                 1.4041,                 1.4213,                0.66315,                0.60622,                0.65671,                0.42084,                 1.2139,                 1.1566,                 1.5947,                 1.2873,                 1.1836,                 1.6361,               0.004918,               0.004918,               0.004918
                     80,                 1.1484,                  1.253,                 1.4025,                 1.2056,                 1.3632,                 1.4013,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004852,               0.004852,               0.004852
                     81,                  1.163,                  1.273,                 1.4236,                 1.2204,                 1.3971,                 1.4213,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004786,               0.004786,               0.004786
                     82,                 1.1568,                 1.2617,                 1.4086,                 1.2143,                 1.3806,                 1.4123,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,                0.00472,                0.00472,                0.00472
                     83,                 1.1746,                 1.2533,                 1.4227,                 1.2394,                 1.3568,                 1.4243,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004654,               0.004654,               0.004654
                     84,                 1.1639,                 1.2647,                 1.4251,                 1.2249,                 1.3838,                 1.4225,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004588,               0.004588,               0.004588
                     85,                 1.1417,                 1.2315,                 1.4089,                 1.2072,                 1.3475,                 1.4105,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004522,               0.004522,               0.004522
                     86,                 1.1496,                 1.2258,                 1.4163,                  1.202,                 1.3566,                 1.4165,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004456,               0.004456,               0.004456
                     87,                 1.1485,                 1.2368,                  1.418,                 1.2045,                 1.3673,                 1.4166,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,                0.00439,                0.00439,                0.00439
                     88,                 1.1435,                  1.211,                  1.406,                 1.2082,                 1.3266,                 1.4053,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004324,               0.004324,               0.004324
                     89,                 1.1345,                 1.1867,                 1.3932,                 1.1995,                 1.2979,                 1.3933,                 0.6729,                 0.6207,                0.68471,                0.44419,                 1.2095,                 1.0871,                 1.5833,                 1.2605,                 1.1268,                 1.6252,               0.004258,               0.004258,               0.004258
                     90,                  1.136,                 1.2213,                 1.4029,                 1.2091,                 1.3353,                 1.4094,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.004192,               0.004192,               0.004192
                     91,                 1.1365,                  1.205,                  1.405,                 1.1943,                 1.3285,                 1.4087,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.004126,               0.004126,               0.004126
                     92,                 1.1379,                 1.2022,                 1.3966,                 1.1995,                 1.3322,                 1.4029,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,                0.00406,                0.00406,                0.00406
                     93,                 1.1281,                 1.2048,                 1.3863,                 1.1927,                 1.3386,                  1.384,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.003994,               0.003994,               0.003994
                     94,                 1.1248,                 1.1837,                 1.4023,                 1.1838,                 1.3054,                 1.4077,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.003928,               0.003928,               0.003928
                     95,                 1.1304,                 1.1835,                 1.3878,                 1.2061,                 1.2743,                 1.3966,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.003862,               0.003862,               0.003862
                     96,                 1.1225,                 1.1786,                 1.3894,                 1.1896,                   1.29,                 1.3977,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.003796,               0.003796,               0.003796
                     97,                 1.1056,                 1.1792,                 1.3773,                 1.1735,                 1.2993,                 1.3867,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,                0.00373,                0.00373,                0.00373
                     98,                 1.1144,                 1.1725,                  1.386,                 1.1779,                 1.2905,                 1.3929,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.003664,               0.003664,               0.003664
                     99,                  1.115,                 1.1651,                 1.3819,                 1.1884,                 1.2652,                 1.3868,                0.69817,                0.64205,                0.71036,                0.45833,                 1.2006,                   1.05,                 1.5624,                  1.267,                 1.0835,                 1.6022,               0.003598,               0.003598,               0.003598
                    100,                 1.1164,                 1.1727,                 1.3857,                 1.1685,                 1.2953,                 1.3844,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003532,               0.003532,               0.003532
                    101,                 1.1095,                 1.1435,                 1.3876,                 1.1675,                 1.2838,                 1.3922,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003466,               0.003466,               0.003466
                    102,                 1.1049,                 1.1674,                 1.3779,                 1.1744,                 1.2765,                 1.3849,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.1089,                 1.1274,                 1.3765,                 1.1715,                 1.2493,                 1.3831,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003334,               0.003334,               0.003334
                    104,                 1.0897,                 1.0999,                 1.3591,                 1.1604,                 1.2005,                 1.3626,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003268,               0.003268,               0.003268
                    105,                 1.0858,                 1.0995,                 1.3594,                 1.1452,                  1.194,                 1.3618,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003202,               0.003202,               0.003202
                    106,                 1.0778,                 1.0972,                 1.3617,                 1.1429,                 1.2024,                  1.371,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003136,               0.003136,               0.003136
                    107,                 1.0859,                  1.123,                 1.3636,                 1.1497,                 1.2336,                 1.3685,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,                0.00307,                0.00307,                0.00307
